"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",12.34,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.92,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",59.78,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",14.91,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",12.18,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.46,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",15.43,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",12.23,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.02,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",15.38,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.41,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",116.08,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.13,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",35.98,"provisorisch"
"2023-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",13.96,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.05,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",81.65,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.7,"provisorisch"
"2023-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.86,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",9.63,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",96.61,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.32,"provisorisch"
"2023-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",13.56,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.65,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",607.52,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.58,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.6,"provisorisch"
"2023-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.46,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.09,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",432.02,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.35,"provisorisch"
"2023-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.94,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.01,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",390.57,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.91,"provisorisch"
"2023-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.68,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.61,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",21.1,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.03,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.16,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.13,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.48,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",10.72,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",980.77,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.58,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.31,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",4.95,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.3,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.94,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.95,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",94.65,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.89,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",41.33,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",12.21,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.8,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",42.15,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.43,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",12.1,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",10.55,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",72.58,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",975.05,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",12.14,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.17,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.08,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.15,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.44,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.71,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.7,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.55,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.73,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.3,"provisorisch"
